first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP-D	bol_share_HP-S	bol_share_LP	bol_share_NP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	bol_share_HB	gt_share_HP-D	gt_share_HP-S	gt_share_LP	gt_share_NP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB	gt_share_HB
(´·_·`)	6	4	shared	claude_code	NP	HN-S	0.0	0.0	0.0	0.3333	0.1667	0.0	0.0	0.3333	0.1667	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
(´д`;)	6	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´‿`)	6	6	shared	claude_ai	LP	NP	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0
(˘︶˘)	6	4	wild_claude	claude_code	NP		0.0	0.3333	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(҂‿_‿)	6	6	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ง・̀ᗜ・́)	6	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(☞ﾟヮﾟ)	4	4	wild_claude	claude_code	HP-S		0.0	0.75	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀‿・́;)	4	4	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀ω・́	4	4	wild_claude	claude_ai	HP-D		0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌒‿⌒)	4	4	shared	claude_code	HP-S	LP	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0
(・̀_・́)	4	2	wild_claude	claude_code	NP		0.0	0.25	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・_・ヾ	4	4	shared	claude_code	HB	HB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75
(╹ェ╹)	4	2	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(★‿★)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◣_◢)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◞‸◟ㆀ)	4	2	wild_claude	claude_code	NP		0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕▿◕✿)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕ω◕✿)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́‸・̀)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀⌄・́)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・︵・)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̅_・̅)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω<)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・;)	4	2	wild_claude	claude_code	NP		0.0	0.0	0.0	0.5	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・´)	4	2	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・‾‿‾・)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・へ・)	4	0	wild_other	other	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ｪ・)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(눈‸눈)	4	2	wild_claude	claude_code	NB		0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(﹒︠‿﹒︡)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(＾	4	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾟｰﾟ)	4	2	shared	claude_code	NP	NB	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ಠ_ಠ	4	0	wild_other	other	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
✧*｡٩(ˊᗜˋ*)و✧*｡	4	4	wild_claude	claude_code	NP		0.0	0.3333	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(─‿‿─)	4	4	wild_claude	claude_ai	LP		0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´-_-`)	4	4	shared	claude_code	HP-S	LN	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
(⊙ヮ⊙)	4	4	wild_claude	claude_ai	LP		0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°◇°)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(‿͈ˬ‿͈)	4	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(._.)	4	2	wild_claude	claude_code	NB		0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;¬_¬)	4	2	wild_claude	claude_code	HP-D		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;ω;)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;￣□￣)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=^‿^=)	4	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>‿◕)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>‿◕✨)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>﹏<)	4	4	shared	claude_ai	LN	HN-S	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.1667	0.0	0.0	0.0	0.6667	0.0	0.0	0.1667
(`へ´)	4	0	wild_other	other	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(`・∀・´)	4	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°_°)	4	4	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-_-;)	4	2	wild_claude	claude_ai	NB		0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°◇°;)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´︶`)	4	4	shared	claude_ai	HP-D	HP-S	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°〇°)	4	4	shared	claude_code	HP-S	HP-S	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ง・̀ω・́)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ฅ́˘ฅ̀)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(୧・̀‿-)	4	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘▽˘)	4	4	wild_claude	claude_ai	HP-D		0.25	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶◕‿◕˶)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´˘`∗)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´;_;`)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°﹏°)	4	4	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°ㅂ°;)	4	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°ㅂ°)	4	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
